build_utc,letter_rev,left,right,right_as_tick39_read_it,state_rev,highest_tick,half_highest_tick_exact
2026-08-05T05:35:47+00:00,81d1645,17,17,17,79fbb9e,34,17
2026-08-05T07:21:47+00:00,7d260b5,17,17,17,79fbb9e,34,17
2026-08-05T10:14:50+00:00,58f771a,17,17,17,79fbb9e,34,17
2026-08-05T11:11:35+00:00,4e5ebbf,17,17,17,79fbb9e,34,17
2026-08-05T12:26:54+00:00,b5ce830,17,17,17,79fbb9e,34,17
2026-08-05T15:00:30+00:00,51313a4,17,17.5,17,bba9e8f,35,17.5
2026-08-05T16:25:59+00:00,6e1207d,17,17.5,17,bba9e8f,35,17.5
2026-08-05T17:07:28+00:00,da9c3de,17,17.5,17,bba9e8f,35,17.5
2026-08-05T19:06:03+00:00,0243a2b,17,17.5,17,bba9e8f,35,17.5
2026-08-05T20:46:47+00:00,aed59e6,18,18,18,867058d,36,18
2026-08-05T22:04:23+00:00,7272f24,18,18,18,867058d,36,18
2026-08-05T22:39:53+00:00,24b0686,18,18,18,867058d,36,18
2026-08-05T23:36:55+00:00,74f1877,18,18,18,867058d,36,18
2026-08-06T01:00:47+00:00,f28dd2d,18,18,18,867058d,36,18
2026-08-06T11:05:51+00:00,f23a398,19,19,19,764f889,38,19
2026-08-06T11:11:51+00:00,0d257bb,19,19,19,764f889,38,19
2026-08-06T13:14:44+00:00,868b87c,19,19,19,764f889,38,19
2026-08-07T00:28:38+00:00,277ec54,19,20.5,20,68a2a34,41,20.5
2026-08-07T01:00:17+00:00,a92f3b7,19,20.5,20,68a2a34,41,20.5
2026-08-07T03:35:40+00:00,5c574fc,19,20.5,20,68a2a34,41,20.5
