frame,arxiv,doi,year,neg_sites,neg_values,neg_attributed,pos_sites,pos_values,pos_attributed,frac_sites,frac_attributed,frac_indexed,spurfrac_sites,spurfrac_attributed,spurfrac_indexed,spurious_terms,successor_criteria
A,2011.02505,10.1093/mnras/stab1242,2020,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2012.01742,10.1051/0004-6361/202039653,2020,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ruwe
A,2012.01916,10.1051/0004-6361/202039587,2020,0,,0,0,,0,0,0,0,0,0,0,0,
A,2012.06420,10.1051/0004-6361/202039637,2020,0,,0,0,,0,0,0,0,2,0,0,16,
A,2012.08534,10.3847/2041-8213/abdbaf,2020,0,,0,0,,0,0,0,0,0,0,0,0,
A,2012.09204,10.1093/mnras/stab2253,2020,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
A,2101.05282,10.1093/MNRAS/STAB323,2021,0,,0,4,5,0,0,0,0,0,0,0,9,ipd_gof|ruwe|sigma5d
A,2101.05811,10.1051/0004-6361/202039714,2021,0,,0,0,,0,0,0,0,0,0,0,1,ipd_gof|ruwe|visibility
A,2101.07122,10.1093/mnras/stab213,2021,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ruwe
A,2101.10206,10.1051/0004-6361/202140418,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2102.07790,10.3847/1538-4357/ac2f49,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2102.09568,10.1093/mnras/stab1475,2021,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|fidelity|ipd_gof|ruwe|visibility
A,2102.13654,10.1051/0004-6361/202142008,2021,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe|visibility
A,2103.05000,10.1103/physrevlett.127.241104,2021,0,,0,0,,0,0,0,0,1,1,1,2,
A,2103.07432,10.1051/0004-6361/202140807,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2103.09923,10.3847/1538-4357/abee83,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2103.12760,10.3847/1538-3881/ac0fdc,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2104.00662,10.1093/mnras/stab1568,2021,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ipd_gof|ruwe|visibility
B,2104.04231,10.3847/1538-3881/ac34f9,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2104.07934,10.1093/mnras/stab2045,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2104.11759,10.1051/0004-6361/202039519,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2104.12883,10.3847/1538-4357/ac14be,2021,0,,0,1,5,0,0,0,0,0,0,0,0,
A,2104.13148,10.1051/0004-6361/202040272,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2104.13941,10.3847/1538-3881/abf932,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2104.14565,10.1093/mnras/stab1267,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2105.06108,10.1093/mnras/stab1404,2021,0,,0,0,,0,0,0,0,0,0,0,0,
B,2105.07266,10.3847/1538-4357/ac6035,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2105.11662,10.3847/1538-4365/abf93c,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2105.13370,10.3847/1538-3881/ac0632,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2105.13379,10.1093/mnras/stab1559,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2106.07669,10.1093/mnras/stab2672,2021,0,,0,8,1|2|4|6,1,0,0,0,0,0,0,1,excess_noise|fidelity|ipd_gof|ruwe|sigma5d
A,2106.08128,10.1051/0004-6361/202140862,2021,0,,0,0,,0,0,0,0,0,0,0,0,gof_al|ruwe
A,2106.08819,10.1051/0004-6361/202141528,2021,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
A,2106.13337,10.1038/s41550-023-01913-1,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2106.15656,10.3847/1538-4357/ac0e95,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2107.00036,10.3847/1538-4357/ac545c,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2107.06303,10.1093/mnras/stab2039,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2107.06340,10.1051/0004-6361/202141381,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2107.06373,10.3847/1538-3881/ac1423,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2107.08057,10.1093/mnras/stab2079,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2107.10259,10.3847/1538-4357/ac1585,2021,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ruwe
A,2107.12691,10.1051/0004-6361/202141725,2021,0,,0,0,,0,0,0,0,1,1,0,1,ruwe
A,2108.01100,10.1093/mnras/stab2271,2021,0,,0,0,,0,0,0,0,0,0,0,0,visibility
A,2108.04255,10.1093/mnras/stab2583,2021,0,,0,4,5,1,0,0,0,1,1,0,4,fidelity|sigma5d
A,2108.05321,10.3847/1538-4357/ac1c75,2021,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
B,2108.11001,10.1093/mnras/stab2471,2021,0,,0,0,,0,0,0,0,0,0,0,0,
