arxiv,verdict,fetch_ok,members,bytes,fetch_error,landed_all_zero,landed_mentioned,now_mentioned,diffs
2011.02505,AGREE,1,11,10563381,,0,1,1,
2012.01742,AGREE,1,4,8512856,,0,1,1,
2012.09204,AGREE,1,2,827930,,0,1,1,
2101.05282,AGREE,1,1,3455474,,0,1,1,
2101.05811,AGREE,1,22,21018537,,0,1,1,
2101.07122,AGREE,1,2,6930237,,0,1,1,
2101.10206,AGREE,1,2,333364,,0,1,1,
2102.09568,AGREE,1,4,1984820,,0,1,1,
2102.13654,AGREE,1,3,3219550,,0,1,1,
2103.09923,AGREE,1,7,22041902,,0,1,1,
2103.12760,AGREE,1,1,3296284,,0,1,1,
2104.00662,AGREE,1,3,5138309,,0,1,1,
2104.11759,AGREE,1,2,8123944,,0,1,1,
2104.12883,AGREE,1,2,1651787,,0,0,0,
2104.13148,AGREE,1,2,5371784,,0,1,1,
2104.13941,AGREE,1,2,4597651,,0,1,1,
2104.14565,AGREE,1,1,32709108,,0,1,1,
2105.13370,AGREE,1,2,4832129,,0,1,1,
2106.07669,AGREE,1,2,8483338,,0,1,1,
2106.08128,AGREE,1,2,417392,,0,1,1,
2106.08819,AGREE,1,2,11458266,,0,1,1,
2106.13337,AGREE,1,9,9720189,,0,1,1,
2107.00036,AGREE,1,2,36882672,,0,1,1,
2107.06303,AGREE,1,1,7194458,,0,1,1,
2107.06373,AGREE,1,1,440961,,0,1,1,
2107.08057,AGREE,1,2,6608128,,0,1,1,
2107.10259,AGREE,1,15,795279,,0,1,1,
2107.12691,AGREE,1,2,6627706,,0,1,1,
2108.04255,AGREE,1,1,3376184,,0,0,0,
2108.05321,AGREE,1,1,703644,,0,1,1,
2109.00836,AGREE,1,4,5792828,,0,1,1,
2109.09185,AGREE,1,2,6282055,,0,1,1,
2109.10912,AGREE,1,7,8805489,,0,1,1,
2109.11951,AGREE,1,1,362728,,0,1,1,
2109.12114,AGREE,1,2,8089422,,0,1,1,
2110.04576,AGREE,1,1,4173168,,0,1,1,
2110.13382,AGREE,1,2,18506897,,0,1,1,
2110.13943,AGREE,1,2,5801324,,0,1,1,
2111.01145,AGREE,1,2,5528541,,0,1,1,
2111.01860,AGREE,1,2,28841433,,0,1,1,
2111.03676,AGREE,1,2,3070790,,0,1,1,
2111.03887,AGREE,1,2,2720940,,0,1,1,
2111.05291,AGREE,1,2,2702887,,0,1,1,
2111.09324,AGREE,1,2,9806717,,0,1,1,
2111.11196,AGREE,1,2,552776,,0,1,1,
2111.11725,AGREE,1,2,3896053,,0,1,1,
2111.13939,AGREE,1,1,1548670,,0,1,1,
2111.13946,AGREE,1,1,5090405,,0,1,1,
2112.00852,AGREE,1,2,17725610,,0,1,1,
2112.01703,AGREE,1,2,652356,,0,1,1,
2112.03959,AGREE,1,2,1635757,,0,1,1,
2112.06683,AGREE,1,2,2297730,,0,1,1,
2112.07023,AGREE,1,2,2640445,,0,1,1,
2112.11943,AGREE,1,1,146114,,0,1,1,
2112.12152,AGREE,1,3,16441108,,0,1,1,
2112.15353,AGREE,1,2,725702,,0,1,1,
2201.00733,AGREE,1,1,1461231,,0,1,1,
2201.05614,AGREE,1,1,2380516,,0,1,1,
2201.09097,AGREE,1,2,3259900,,0,1,1,
2201.09438,AGREE,1,3,5466279,,0,1,1,
2201.09963,AGREE,1,2,4232173,,0,1,1,
2201.13379,AGREE,1,2,1059345,,0,1,1,
2202.00042,AGREE,1,2,18787123,,0,1,1,
2202.04199,AGREE,1,2,2615902,,0,1,1,
2202.06963,AGREE,1,2,14658771,,0,1,1,
2202.08369,AGREE,1,2,1384810,,0,1,1,
2203.01953,AGREE,1,1,2979493,,0,1,1,
2203.03659,AGREE,1,2,4362319,,0,1,1,
2203.07294,AGREE,1,2,2423086,,0,1,1,
2203.07938,AGREE,1,1,3897806,,0,1,1,
2203.08971,AGREE,1,2,3692933,,0,0,0,
2203.11250,AGREE,1,6,5769960,,0,1,1,
2203.12795,AGREE,1,2,23742236,,0,1,1,
2204.09414,AGREE,1,6,1419983,,0,1,1,
2204.12140,AGREE,1,2,15286550,,0,1,1,
2204.12551,AGREE,1,2,7096843,,0,1,1,
2204.13672,AGREE,1,3,730193,,0,1,1,
2205.00040,AGREE,1,2,267881,,0,1,1,
2205.03444,AGREE,1,2,7459637,,0,1,1,
2205.06186,AGREE,1,2,8149848,,0,1,1,
2205.12278,AGREE,1,2,3346927,,0,1,1,
2205.12874,AGREE,1,2,5709635,,0,0,0,
2205.13715,AGREE,1,5,2151692,,0,1,1,
2206.00417,AGREE,1,2,1300198,,0,1,1,
2206.00604,AGREE,1,2,400352,,0,1,1,
2206.03511,AGREE,1,2,29022894,,0,1,1,
2206.03777,AGREE,1,2,2623413,,0,1,1,
2206.04148,AGREE,1,2,9990891,,0,1,1,
2206.04392,AGREE,1,2,35609322,,0,1,1,
2206.04458,AGREE,1,3,374511,,0,1,1,
2206.04567,AGREE,1,10,17411710,,0,1,1,
2206.05411,AGREE,1,2,9526051,,0,1,1,
2206.05595,AGREE,1,2,22113634,,0,1,1,
2206.05902,AGREE,1,2,8427973,,0,1,1,
2206.05989,AGREE,1,2,12048946,,0,1,1,
2206.06121,AGREE,1,7,2461772,,0,1,1,
2206.08230,AGREE,1,2,344060,,0,1,1,
2206.08383,AGREE,1,2,2529459,,0,1,1,
2206.09990,AGREE,1,2,7252490,,0,1,1,
2206.10505,AGREE,1,5,12193241,,0,1,1,
2206.11047,AGREE,1,2,2866721,,0,1,1,
2206.11275,AGREE,1,2,40341328,,0,1,1,
2206.12170,AGREE,1,4,1763340,,0,1,1,
2206.15318,AGREE,1,5,427774,,0,1,1,
2207.02925,AGREE,1,1,242981,,0,1,1,
2207.06258,AGREE,1,6,462606,,0,1,1,
2207.08452,AGREE,1,2,17659857,,0,1,1,
2207.08742,AGREE,1,2,7820046,,0,1,1,
2207.13368,AGREE,1,3,711818,,0,1,1,
2208.02257,AGREE,1,4,3798554,,0,1,1,
2208.05277,AGREE,1,2,15773380,,0,1,1,
2208.05488,AGREE,1,1,1717374,,0,0,0,
2208.06715,AGREE,1,1,348993,,0,1,1,
2208.09403,AGREE,1,2,13661920,,0,1,1,
2208.12112,AGREE,1,6,1631324,,0,1,1,
2209.02731,AGREE,1,2,8426144,,0,1,1,
2209.03906,AGREE,1,2,7262699,,0,1,1,
2209.04210,AGREE,1,2,1789752,,0,1,1,
2209.06833,AGREE,1,1,3474210,,0,1,1,
2209.07885,AGREE,1,2,8515587,,0,1,1,
2209.09915,AGREE,1,2,5236645,,0,1,1,
2209.12938,AGREE,1,8,3158541,,0,1,1,
2209.13107,AGREE,1,2,4208097,,0,1,1,
2210.01137,AGREE,1,2,6877461,,0,1,1,
