arxiv,n_matches,n_named,n_bare,bare_only,bbl_only,m_noninvoker,chars
2603.10825v1,12,2,10,False,False,False,55395
2603.12624v1,3,3,0,False,False,False,80287
2603.12759v1,40,26,14,False,False,False,54790
2603.13961v2,1,1,0,False,False,False,31109
2603.14309v1,7,7,0,False,False,False,52053
2603.16241v1,41,37,4,False,False,False,94165
2603.17845v1,6,5,1,False,False,False,43878
2603.18739v3,3,1,2,False,False,False,86705
2603.19609v2,2,2,0,False,False,False,62704
2603.19926v1,4,4,0,False,False,False,77301
2603.20074v1,11,11,0,False,False,False,68685
2603.21206v1,4,2,2,False,False,False,29156
2603.25165v2,16,16,0,False,False,False,85051
2603.25524v1,2,2,0,False,False,False,62833
2603.25993v1,27,3,24,False,False,False,46719
2603.26541v1,21,19,2,False,False,False,67334
2603.26638v1,23,11,12,False,False,False,138088
2603.27993v1,18,18,0,False,False,False,48392
2603.28027v1,5,5,0,False,False,False,106194
2603.28297v1,52,49,3,False,False,False,183578
2604.01678v1,7,7,0,False,False,False,44272
2604.01742v1,13,11,2,False,False,False,76301
2604.01907v2,1,0,1,True,False,True,80706
2604.02032v1,18,15,3,False,False,False,53502
2604.02188v1,2,2,0,False,False,False,53325
2604.05347v1,5,5,0,False,False,False,117665
2604.08916v1,4,4,0,False,False,False,48372
2604.09421v1,4,3,1,False,False,False,83723
2604.10609v1,6,4,2,False,False,False,60312
2604.14720v1,1,0,1,True,False,True,15997
2604.17856v1,9,5,4,False,False,False,40174
2604.17920v1,31,31,0,False,False,False,22993
2604.18549v1,20,19,1,False,False,False,114227
2604.18957v1,3,3,0,False,False,False,64088
2604.19609v1,30,30,0,False,False,False,69853
2604.19798v1,1,0,1,True,False,True,83918
2604.20395v2,15,12,3,False,False,False,146787
2604.21313v1,8,6,2,False,False,False,74550
2604.22838v1,4,1,3,False,False,False,93550
2604.24718v1,19,15,4,False,False,False,145060
2605.03144v1,25,15,10,False,False,False,85457
2605.03614v1,4,3,1,False,False,False,95076
2605.04506v2,9,8,1,False,False,False,40827
2605.04728v1,1,0,1,True,False,True,63110
2605.05616v1,84,0,84,True,False,True,293443
2605.07415v2,22,21,1,False,False,False,119787
2605.08925v2,56,53,3,False,False,False,61662
2605.09936v1,5,4,1,False,False,False,104843
2605.11300v1,2,2,0,False,False,False,102587
2605.13152v1,13,12,1,False,False,False,69562
2605.15673v1,18,7,11,False,False,False,30392
2605.17584v1,29,26,3,False,False,False,81312
2605.18413v2,1,0,1,True,False,True,64027
2605.19213v1,3,0,3,True,False,True,70622
2605.20436v2,74,74,0,False,False,False,138747
2605.23472v1,7,7,0,False,False,False,64141
2605.23656v1,2,2,0,False,False,False,56734
2605.24533v1,41,41,0,False,False,False,74561
2605.26095v2,15,15,0,False,False,False,82145
2605.26102v2,10,9,1,False,False,False,70753
2605.26370v1,10,10,0,False,False,False,48853
2605.26682v1,3,2,1,False,False,False,66853
2605.29429v2,8,3,5,False,False,False,81509
2605.29505v1,6,6,0,False,False,False,57230
2605.31284v1,14,0,14,True,False,True,46257
2606.01549v1,22,19,3,False,False,False,56252
2606.01947v1,4,4,0,False,False,False,204358
2606.02724v1,7,4,3,False,False,False,91232
2606.03748v1,4,3,1,False,False,False,127067
2606.03875v1,19,14,5,False,False,False,33169
2606.07394v1,25,18,7,False,False,False,76633
2606.08002v1,1,0,1,True,False,True,23958
2606.08014v1,10,10,0,False,False,False,61038
2606.08206v2,43,26,17,False,False,False,120762
2606.10107v1,91,26,65,False,False,False,58778
2606.10769v1,28,22,6,False,False,False,46552
2606.12371v1,5,5,0,False,False,False,56503
2606.12826v1,33,33,0,False,False,False,90810
2606.14389v1,2,2,0,False,False,False,60124
2606.15427v1,5,5,0,False,False,False,40531
2606.16414v1,13,12,1,False,False,False,55220
2606.20140v2,1,0,1,True,False,True,48510
2606.21594v1,13,11,2,False,False,False,42478
2606.22439v1,2,2,0,False,False,False,48395
2606.22702v1,2,2,0,False,False,False,122296
2606.25312v2,12,12,0,False,False,False,109090
2606.25324v1,1,1,0,False,False,False,89789
2606.25652v1,2,1,1,False,False,False,32254
2606.25732v1,1,0,1,True,False,True,64777
2606.26295v1,1,0,1,True,False,True,46845
2606.26615v2,7,5,2,False,False,False,69650
2606.26743v2,2,2,0,False,False,False,42134
2606.26849v1,3,3,0,False,False,False,53622
2606.27491v1,36,36,0,False,False,False,75712
2606.28398v1,1,1,0,False,False,False,54590
2606.28405v1,3,3,0,False,False,False,66287
2606.29029v1,6,6,0,False,False,False,51877
2606.29136v1,3,3,0,False,False,False,71804
2606.29513v1,6,6,0,False,False,False,75377
2606.30179v1,6,5,1,False,False,False,36292
2606.30795v1,21,19,2,False,False,False,113573
2606.30875v1,8,8,0,False,False,False,194329
2606.31015v1,5,5,0,False,False,False,83947
2606.31029v1,10,5,5,False,False,False,80114
2606.31157v1,16,11,5,False,False,False,56876
2606.31373v1,4,4,0,False,False,False,56258
2606.31496v1,8,8,0,False,False,False,85297
2606.31834v1,16,9,7,False,False,False,98439
2607.00124v1,2,1,1,False,False,False,74262
2607.00129v1,2,2,0,False,False,False,44293
2607.00338v1,3,3,0,False,False,False,51512
2607.00357v1,41,41,0,False,False,False,101104
2607.00746v1,10,10,0,False,False,False,58426
2607.00747v1,2,1,1,False,False,False,56842
2607.01708v1,24,24,0,False,False,False,67077
2607.01759v1,14,10,4,False,False,False,71467
2607.01827v1,9,9,0,False,False,False,52224
2607.01983v1,4,3,1,False,False,False,51119
2607.02074v1,7,7,0,False,False,False,52073
2607.02371v1,5,5,0,False,False,False,42765
2607.02636v1,13,13,0,False,False,False,72686
2607.02724v1,1,0,1,True,False,True,31398
2607.03589v2,35,33,2,False,False,False,104333
2607.03696v1,1,1,0,False,False,False,153213
2607.03795v1,4,4,0,False,False,False,113798
2607.03810v1,29,29,0,False,False,False,56157
2607.03915v2,2,2,0,False,False,False,95774
2607.04330v1,12,12,0,False,False,False,61578
2607.04587v1,1,1,0,False,False,False,58035
2607.05148v2,3,3,0,False,False,False,94180
2607.05176v2,2,2,0,False,False,False,51368
2607.05311v1,29,22,7,False,False,False,219498
2607.05467v1,5,5,0,False,False,False,71818
2607.05649v1,14,14,0,False,False,False,60925
2607.05978v1,7,6,1,False,False,False,64764
2607.06592v1,3,2,1,False,False,False,57933
2607.07192v1,9,8,1,False,False,False,127172
2607.08004v1,10,8,2,False,False,False,51745
2607.08075v2,4,3,1,False,False,False,52933
2607.08076v1,2,2,0,False,False,False,63261
2607.08191v1,1,1,0,False,False,False,45847
2607.08201v1,2,1,1,False,False,False,78066
2607.08541v1,1,0,1,True,False,True,19362
2607.09115v2,9,7,2,False,False,False,53077
2607.09583v1,8,7,1,False,False,False,74649
2607.10575v1,7,2,5,False,False,False,68329
2607.10949v2,8,3,5,False,False,False,114943
2607.11732v1,1,0,1,True,False,True,62711
2607.12231v1,6,0,6,True,False,True,222191
2607.12284v1,11,0,11,True,False,True,40095
2607.12874v1,10,9,1,False,False,False,48721
2607.12959v1,15,15,0,False,False,False,112577
2607.13452v1,24,14,10,False,False,False,62123
2607.13891v1,4,4,0,False,False,False,178026
2607.14560v1,2,2,0,False,False,False,56735
2607.15041v1,10,10,0,False,False,False,85253
2607.16351v1,6,3,3,False,False,False,93376
2607.16671v1,14,13,1,False,False,False,52751
2607.17340v1,1,1,0,False,False,False,55280
2607.17754v1,6,0,6,True,False,True,39251
2607.17778v1,20,12,8,False,False,False,31809
2607.17938v1,6,0,6,True,False,True,49969
2607.18700v1,7,5,2,False,False,False,53462
2607.18779v1,4,1,3,False,False,False,24927
2607.19036v1,4,3,1,False,False,False,47666
2607.19942v2,1,0,1,True,False,True,59017
2607.20238v1,13,13,0,False,False,False,62168
2607.20263v1,9,7,2,False,False,False,128354
2607.20748v1,1,0,1,True,False,True,140370
2607.20947v1,13,13,0,False,False,False,45749
2607.21032v1,3,3,0,False,False,False,62398
2607.21577v1,1,0,1,True,False,True,51883
2607.23576v1,9,8,1,False,False,False,159226
2607.23981v1,2,2,0,False,False,False,40370
2607.24598v1,2,2,0,False,False,False,57560
2607.25239v1,20,17,3,False,False,False,64561
2607.25392v1,1,0,1,True,False,True,39544
2607.25455v1,11,9,2,False,False,False,34782
2607.25736v1,3,2,1,False,False,False,53469
2607.26232v1,6,6,0,False,False,False,55384
2607.27058v1,2,1,1,False,False,False,46938
2607.27585v1,4,4,0,False,False,False,73258
2607.27843v1,1,1,0,False,False,False,53405
2607.28007v1,6,6,0,False,False,False,51767
2607.29222v1,2,2,0,False,False,False,52160
2608.00508v1,7,6,1,False,False,False,25497
2608.01302v1,2,2,0,False,False,False,39521
2608.01348v2,1,1,0,False,False,False,110083
2608.01906v1,7,2,5,False,False,False,76890
2608.02137v1,6,6,0,False,False,False,85052
2608.02495v1,6,5,1,False,False,False,62190
2608.02980v1,2,2,0,False,False,False,104082
2608.03106v1,43,43,0,False,False,False,201376
2608.03136v1,4,4,0,False,False,False,41253
2608.03264v1,4,1,3,False,False,False,65513
2608.03370v1,3,3,0,False,False,False,31105
2608.03385v1,6,6,0,False,False,False,185062
2608.03490v1,2,2,0,False,False,False,44410
2608.04394v1,7,7,0,False,False,False,88739
2608.04423v1,29,26,3,False,False,False,61524
2608.04766v1,2,2,0,False,False,False,90105
2608.04865v1,5,5,0,False,False,False,64153
2608.05356v1,43,38,5,False,False,False,56158
2608.05858v1,44,43,1,False,False,False,53853
2608.06205v1,14,12,2,False,False,False,220250
