literature,arxiv,invokes,sites,candidate
gaia,2011.02505,1,2,0
gaia,2012.01742,1,4,0
gaia,2012.01916,0,0,0
gaia,2012.06420,0,0,0
gaia,2012.08534,0,0,0
gaia,2012.09204,1,1,0
gaia,2101.05282,1,16,0
gaia,2101.05811,1,2,0
gaia,2101.07122,1,4,0
gaia,2101.10206,1,4,0
gaia,2102.07790,0,0,0
gaia,2102.09568,1,1,0
gaia,2102.13654,1,1,0
gaia,2103.05000,0,0,0
gaia,2103.07432,0,0,0
gaia,2103.09923,1,2,0
gaia,2103.12760,1,1,0
gaia,2104.00662,1,2,0
gaia,2104.04231,0,0,0
gaia,2104.07934,0,0,0
gaia,2104.11759,1,2,0
gaia,2104.12883,0,0,0
gaia,2104.13148,1,0,1
gaia,2104.13941,1,2,0
gaia,2104.14565,1,1,0
gaia,2105.06108,0,0,0
gaia,2105.07266,0,0,0
gaia,2105.11662,0,0,0
gaia,2105.13370,1,3,0
gaia,2105.13379,0,0,0
gaia,2106.07669,1,2,0
gaia,2106.08128,1,1,0
gaia,2106.08819,1,1,0
gaia,2106.13337,1,3,0
gaia,2106.15656,0,0,0
gaia,2107.00036,1,1,0
gaia,2107.06303,1,1,0
gaia,2107.06340,0,0,0
gaia,2107.06373,1,0,1
gaia,2107.08057,1,2,0
gaia,2107.10259,1,1,0
gaia,2107.12691,1,0,1
gaia,2108.01100,0,0,0
gaia,2108.04255,0,0,0
gaia,2108.05321,1,1,0
gaia,2108.11001,0,0,0
gaia,2108.11208,0,0,0
gaia,2109.00836,1,1,0
gaia,2109.03149,0,0,0
gaia,2109.07522,0,0,0
gaia,2109.09185,1,0,1
gaia,2109.10912,1,12,0
gaia,2109.10998,0,0,0
gaia,2109.11826,0,0,0
gaia,2109.11951,1,0,1
gaia,2109.12114,1,1,0
gaia,2110.04576,1,2,0
gaia,2110.06240,0,0,0
gaia,2110.10182,0,0,0
gaia,2110.13382,1,0,1
gaia,2110.13943,1,3,0
gaia,2111.01145,1,0,1
gaia,2111.01860,1,0,1
gaia,2111.02131,0,0,0
gaia,2111.03676,1,3,0
gaia,2111.03887,1,0,1
gaia,2111.05291,1,1,0
gaia,2111.06506,0,0,0
gaia,2111.06899,0,0,0
gaia,2111.09324,1,1,0
gaia,2111.11196,1,1,0
gaia,2111.11725,1,0,1
gaia,2111.11787,0,0,0
gaia,2111.13939,1,2,0
gaia,2111.13946,1,9,0
gaia,2112.00852,1,6,0
gaia,2112.01703,1,2,0
gaia,2112.03959,1,2,0
gaia,2112.04504,0,0,0
gaia,2112.04678,0,0,0
gaia,2112.06683,1,1,0
gaia,2112.07023,1,0,1
gaia,2112.11475,0,0,0
gaia,2112.11567,0,0,0
gaia,2112.11943,1,1,0
gaia,2112.12152,1,7,0
gaia,2112.15353,1,1,0
gaia,2201.00733,1,4,0
gaia,2201.03252,0,0,0
gaia,2201.04134,0,0,0
gaia,2201.05614,1,0,1
gaia,2201.08146,0,0,0
gaia,2201.08285,0,0,0
gaia,2201.08508,0,0,0
gaia,2201.09097,1,4,0
gaia,2201.09438,1,1,0
gaia,2201.09963,1,1,0
gaia,2201.11376,0,0,0
gaia,2201.13379,1,3,0
gaia,2202.00042,1,4,0
gaia,2202.02315,0,0,0
gaia,2202.04199,1,1,0
gaia,2202.06963,1,9,0
gaia,2202.07942,0,0,0
gaia,2202.08369,1,5,0
gaia,2202.11110,0,0,0
gaia,2202.11472,0,0,0
gaia,2203.01953,1,1,0
gaia,2203.03659,1,14,0
gaia,2203.05901,0,0,0
gaia,2203.07294,1,0,1
gaia,2203.07938,1,1,0
gaia,2203.08971,0,0,0
gaia,2203.11250,1,3,0
gaia,2203.12795,1,5,0
gaia,2204.09414,1,1,0
gaia,2204.12140,1,2,0
gaia,2204.12551,1,3,0
gaia,2204.13672,1,0,1
gaia,2205.00014,0,0,0
gaia,2205.00040,1,2,0
gaia,2205.03444,1,1,0
gaia,2205.04444,0,0,0
gaia,2205.05690,0,0,0
gaia,2205.06186,1,1,0
gaia,2205.06789,0,0,0
gaia,2205.08009,0,0,0
gaia,2205.08548,0,0,0
gaia,2205.12278,1,2,0
gaia,2205.12874,0,0,0
gaia,2205.13153,0,0,0
gaia,2205.13715,1,1,0
gaia,2206.00025,0,0,0
gaia,2206.00417,1,2,0
gaia,2206.00604,1,4,0
gaia,2206.03074,0,0,0
gaia,2206.03511,1,1,0
gaia,2206.03777,1,2,0
gaia,2206.04148,1,0,1
gaia,2206.04392,1,37,0
gaia,2206.04458,1,1,0
gaia,2206.04567,1,6,0
gaia,2206.05388,0,0,0
gaia,2206.05411,1,3,0
gaia,2206.05595,1,9,0
gaia,2206.05725,0,0,0
gaia,2206.05902,1,1,0
gaia,2206.05989,1,1,0
gaia,2206.06121,1,5,0
gaia,2206.06339,0,0,0
gaia,2206.08230,1,1,0
gaia,2206.08383,1,0,1
gaia,2206.09990,1,1,0
gaia,2206.10505,1,2,0
gaia,2206.11047,1,3,0
gaia,2206.11092,0,0,0
gaia,2206.11275,1,0,1
gaia,2206.12170,1,1,0
gaia,2206.12824,0,0,0
gaia,2206.15318,1,8,0
gaia,2207.02925,1,8,0
gaia,2207.05090,0,0,0
gaia,2207.06258,1,2,0
gaia,2207.06511,0,0,0
gaia,2207.08452,1,10,0
gaia,2207.08742,1,0,1
gaia,2207.13368,1,1,0
gaia,2208.00211,0,0,0
gaia,2208.01176,0,0,0
gaia,2208.02257,1,2,0
gaia,2208.04979,0,0,0
gaia,2208.05277,1,3,0
gaia,2208.05488,0,0,0
gaia,2208.06333,0,0,0
gaia,2208.06478,0,0,0
gaia,2208.06715,1,13,0
gaia,2208.08212,0,0,0
gaia,2208.09403,1,2,0
gaia,2208.12112,1,1,0
gaia,2208.12720,0,0,0
gaia,2208.14138,0,0,0
gaia,2208.14551,0,0,0
gaia,2209.02352,0,0,0
gaia,2209.02731,1,0,1
gaia,2209.03279,0,0,0
gaia,2209.03906,1,7,0
gaia,2209.04210,1,0,1
gaia,2209.05845,0,0,0
gaia,2209.06810,0,0,0
gaia,2209.06833,1,1,0
gaia,2209.06873,0,0,0
gaia,2209.07885,1,1,0
gaia,2209.08259,0,0,0
gaia,2209.09915,1,1,0
gaia,2209.12938,1,1,0
gaia,2209.13107,1,1,0
gaia,2209.14319,0,0,0
gaia,2210.01137,1,1,0
gaia,2210.01937,0,0,0
gaia,2210.02086,0,0,0
gaia,2210.03725,1,3,0
gaia,2210.08510,1,1,0
gaia,2210.10816,0,0,0
gaia,2210.11383,0,0,0
gaia,2210.11856,0,0,0
gaia,2210.11930,1,4,0
gaia,2210.14734,1,2,0
gaia,2210.15473,0,0,0
gaia,2210.16322,0,0,0
gaia,2211.01449,1,3,0
gaia,2211.01534,1,1,0
gaia,2211.01861,0,0,0
gaia,2211.06194,0,0,0
gaia,2211.06367,0,0,0
gaia,2211.07899,1,1,0
gaia,2211.08463,1,0,1
gaia,2211.08852,1,1,0
gaia,2211.10803,0,0,0
gaia,2211.12576,0,0,0
gaia,2211.14322,1,3,0
gaia,2212.02542,1,5,0
gaia,2212.03596,0,0,0
gaia,2212.06161,0,0,0
gaia,2212.08249,1,1,0
gaia,2212.11971,1,0,1
gaia,2301.00822,0,0,0
gaia,2301.01370,0,0,0
gaia,2301.01722,1,2,0
gaia,2301.03777,1,4,0
gaia,2301.04232,0,0,0
gaia,2301.05018,1,1,0
gaia,2301.10581,0,0,0
gaia,2301.11061,0,0,0
gaia,2301.12109,1,1,0
gaia,2301.13470,0,0,0
gaia,2302.00053,1,1,0
gaia,2302.02611,1,0,1
gaia,2302.02802,0,0,0
gaia,2302.03455,0,0,0
gaia,2302.04138,0,0,0
gaia,2302.04348,1,4,0
gaia,2302.05479,0,0,0
gaia,2302.07714,0,0,0
gaia,2302.07880,0,0,0
gaia,2302.10024,0,0,0
gaia,2302.12778,0,0,0
gaia,2303.05743,0,0,0
gaia,2303.09926,0,0,0
gaia,2303.12841,0,0,0
gaia,2303.14073,0,0,0
gaia,2303.15253,1,1,0
gaia,2303.15531,0,0,0
gaia,2303.16224,0,0,0
gaia,2303.16357,0,0,0
gaia,2303.17424,1,2,0
gaia,2304.00226,1,1,0
gaia,2304.01671,1,11,0
gaia,2304.02029,0,0,0
gaia,2304.02209,1,1,0
gaia,2304.07158,1,0,1
gaia,2304.07322,1,10,0
gaia,2304.08370,1,5,0
gaia,2304.09206,0,0,0
gaia,2304.11980,1,2,0
gaia,2304.12169,0,0,0
gaia,2304.12490,1,0,1
gaia,2304.13951,0,0,0
gaia,2304.14113,0,0,0
gaia,2305.00134,0,0,0
gaia,2305.02514,0,0,0
gaia,2305.03557,1,0,1
gaia,2305.04613,1,1,0
gaia,2305.09215,1,2,0
gaia,2305.09414,1,1,0
gaia,2305.10269,1,0,1
gaia,2305.11823,0,0,0
gaia,2305.16495,1,1,0
gaia,2305.17755,1,1,0
gaia,2305.18147,1,1,0
gaia,2305.19319,1,1,0
