literature,read_order,arxiv,class_size
gaia,1,2111.11725,53
gaia,2,2212.11971,53
gaia,3,2110.13382,53
gaia,4,2304.07158,53
gaia,5,2601.02250,53
gaia,6,2104.13148,53
gaia,7,2601.07184,53
gaia,8,2206.11275,53
gaia,9,2405.13395,53
gaia,10,2505.12945,53
gaia,11,2309.13453,53
gaia,12,2510.02509,53
gaia,13,2209.02731,53
gaia,14,2211.08463,53
gaia,15,2508.08374,53
gaia,16,2410.05654,53
gaia,17,2310.02256,53
gaia,18,2407.19219,53
gaia,19,2603.11994,53
gaia,20,2504.19866,53
gaia,21,2203.07294,53
gaia,22,2306.13130,53
gaia,23,2406.11593,53
gaia,24,2302.02611,53
gaia,25,2305.10269,53
gaia,26,2407.02594,53
gaia,27,2201.05614,53
gaia,28,2312.10158,53
gaia,29,2109.11951,53
gaia,30,2111.01860,53
gaia,31,2111.01145,53
gaia,32,2310.06295,53
gaia,33,2206.08383,53
gaia,34,2506.17861,53
gaia,35,2406.18767,53
gaia,36,2408.14694,53
gaia,37,2109.09185,53
gaia,38,2207.08742,53
gaia,39,2111.03887,53
gaia,40,2304.12490,53
gaia,41,2112.07023,53
gaia,42,2107.12691,53
gaia,43,2107.06373,53
gaia,44,2601.03810,53
gaia,45,2305.03557,53
gaia,46,2404.02976,53
gaia,47,2510.18343,53
gaia,48,2312.03162,53
gaia,49,2507.09622,53
gaia,50,2402.14960,53
gaia,51,2310.15671,53
gaia,52,2204.13672,53
gaia,53,2407.20949,53
mcmc,1,2601.16696v1,20
mcmc,2,2605.27889v2,20
mcmc,3,2512.08173v1,20
mcmc,4,2607.14860v1,20
mcmc,5,2508.18413v2,20
mcmc,6,2605.29193v1,20
mcmc,7,2605.21782v1,20
mcmc,8,2510.03587v2,20
mcmc,9,2605.14565v2,20
mcmc,10,2508.16556v1,20
mcmc,11,2605.09064v1,20
mcmc,12,2602.14616v2,20
mcmc,13,2605.12901v1,20
mcmc,14,2605.23048v1,20
mcmc,15,2606.23358v1,20
mcmc,16,2606.14902v1,20
mcmc,17,2606.18806v1,20
mcmc,18,2605.30722v2,20
mcmc,19,2604.02304v1,20
mcmc,20,2607.19498v1,20
