stratum,read_order,arxiv,stratum_size,drawn_from
A,1,2605.03614v1,84,84
A,2,2605.18413v2,84,84
A,3,2605.04728v1,84,84
A,4,2606.03875v1,84,84
A,5,2603.28027v1,84,84
A,6,2605.26682v1,84,84
A,7,2606.26615v2,84,84
A,8,2606.29513v1,84,84
A,9,2607.27843v1,84,84
A,10,2607.12874v1,84,84
A,11,2608.06205v1,84,84
A,12,2607.11732v1,84,84
A,13,2603.25524v1,84,84
A,14,2607.00129v1,84,84
A,15,2608.03106v1,84,84
A,16,2604.01678v1,84,84
A,17,2603.19609v2,84,84
A,18,2606.20140v2,84,84
A,19,2608.04766v1,84,84
A,20,2605.23656v1,84,84
A,21,2608.03490v1,84,84
A,22,2604.14720v1,84,84
A,23,2604.19798v1,84,84
A,24,2608.03264v1,84,84
A,25,2607.20748v1,84,84
A,26,2608.02980v1,84,84
A,27,2606.26849v1,84,84
A,28,2605.08925v2,84,84
A,29,2606.31496v1,84,84
A,30,2608.04394v1,84,84
A,31,2607.12284v1,84,84
A,32,2607.08541v1,84,84
A,33,2607.00746v1,84,84
A,34,2606.22702v1,84,84
A,35,2606.25652v1,84,84
A,36,2608.03136v1,84,84
A,37,2603.10825v1,84,84
A,38,2605.19213v1,84,84
A,39,2606.08002v1,84,84
A,40,2607.06592v1,84,84
A,41,2607.17754v1,84,84
A,42,2606.29029v1,84,84
A,43,2607.08075v2,84,84
A,44,2607.02074v1,84,84
A,45,2607.25392v1,84,84
A,46,2606.14389v1,84,84
A,47,2607.03696v1,84,84
A,48,2603.18739v3,84,84
A,49,2606.28398v1,84,84
A,50,2607.26232v1,84,84
A,51,2607.12231v1,84,84
A,52,2606.29136v1,84,84
A,53,2607.10575v1,84,84
A,54,2606.01947v1,84,84
A,55,2604.09421v1,84,84
A,56,2606.22439v1,84,84
A,57,2608.02137v1,84,84
A,58,2606.26295v1,84,84
A,59,2607.19942v2,84,84
A,60,2604.01742v1,84,84
A,61,2604.18957v1,84,84
A,62,2607.08201v1,84,84
A,63,2605.23472v1,84,84
A,64,2605.04506v2,84,84
A,65,2603.17845v1,84,84
A,66,2607.00124v1,84,84
A,67,2605.03144v1,84,84
A,68,2603.21206v1,84,84
A,69,2607.23981v1,84,84
A,70,2603.14309v1,84,84
A,71,2605.26102v2,84,84
A,72,2606.12371v1,84,84
A,73,2606.28405v1,84,84
A,74,2603.26638v1,84,84
A,75,2606.31029v1,84,84
A,76,2604.02188v1,84,84
A,77,2606.02724v1,84,84
A,78,2607.02724v1,84,84
A,79,2607.21577v1,84,84
A,80,2606.25732v1,84,84
A,81,2607.17938v1,84,84
A,82,2607.10949v2,84,84
A,83,2603.13961v2,84,84
A,84,2607.24598v1,84,84
B,1,2607.01759v1,24,121
B,2,2607.21032v1,24,121
B,3,2607.01983v1,24,121
B,4,2607.05467v1,24,121
B,5,2606.21594v1,24,121
B,6,2607.05176v2,24,121
B,7,2607.20238v1,24,121
B,8,2606.15427v1,24,121
B,9,2606.30179v1,24,121
B,10,2607.09115v2,24,121
B,11,2608.00508v1,24,121
B,12,2605.09936v1,24,121
B,13,2608.04865v1,24,121
B,14,2607.27585v1,24,121
B,15,2604.10609v1,24,121
B,16,2607.05649v1,24,121
B,17,2607.00747v1,24,121
B,18,2605.15673v1,24,121
B,19,2604.08916v1,24,121
B,20,2604.24718v1,24,121
B,21,2603.27993v1,24,121
B,22,2606.25324v1,24,121
B,23,2607.17340v1,24,121
B,24,2607.16351v1,24,121
