stratum,read_order,arxiv,class_size,read_at_tick56
B,1,2603.26541v1,121,24
B,2,2607.13452v1,121,24
B,3,2604.20395v2,121,24
B,4,2607.03915v2,121,24
B,5,2604.02032v1,121,24
B,6,2607.05978v1,121,24
B,7,2604.17856v1,121,24
B,8,2605.26370v1,121,24
B,9,2608.04423v1,121,24
B,10,2604.01907v2,121,24
B,11,2606.12826v1,121,24
B,12,2606.30795v1,121,24
B,13,2603.25993v1,121,24
B,14,2607.29222v1,121,24
B,15,2607.09583v1,121,24
B,16,2606.30875v1,121,24
B,17,2607.01708v1,121,24
B,18,2607.03795v1,121,24
B,19,2607.01827v1,121,24
B,20,2608.01302v1,121,24
B,21,2603.20074v1,121,24
B,22,2608.05858v1,121,24
B,23,2608.01348v2,121,24
B,24,2607.03810v1,121,24
B,25,2607.02371v1,121,24
B,26,2603.28297v1,121,24
B,27,2606.01549v1,121,24
B,28,2607.04330v1,121,24
B,29,2605.07415v2,121,24
B,30,2605.31284v1,121,24
B,31,2604.05347v1,121,24
B,32,2607.07192v1,121,24
B,33,2606.08014v1,121,24
B,34,2607.00338v1,121,24
B,35,2607.08191v1,121,24
B,36,2606.31015v1,121,24
B,37,2606.08206v2,121,24
B,38,2607.20263v1,121,24
B,39,2607.25455v1,121,24
B,40,2607.04587v1,121,24
B,41,2606.31157v1,121,24
B,42,2607.25239v1,121,24
B,43,2606.16414v1,121,24
B,44,2603.19926v1,121,24
B,45,2605.20436v2,121,24
B,46,2603.12759v1,121,24
B,47,2607.20947v1,121,24
B,48,2605.29505v1,121,24
B,49,2606.25312v2,121,24
B,50,2603.12624v1,121,24
B,51,2608.02495v1,121,24
B,52,2605.26095v2,121,24
B,53,2607.18700v1,121,24
B,54,2606.27491v1,121,24
B,55,2605.24533v1,121,24
B,56,2607.15041v1,121,24
B,57,2607.27058v1,121,24
B,58,2604.19609v1,121,24
B,59,2604.18549v1,121,24
B,60,2607.14560v1,121,24
B,61,2606.07394v1,121,24
B,62,2606.10107v1,121,24
B,63,2605.17584v1,121,24
B,64,2607.28007v1,121,24
B,65,2605.13152v1,121,24
B,66,2608.01906v1,121,24
B,67,2607.02636v1,121,24
B,68,2605.05616v1,121,24
B,69,2607.19036v1,121,24
B,70,2607.13891v1,121,24
B,71,2604.22838v1,121,24
B,72,2604.21313v1,121,24
B,73,2606.03748v1,121,24
B,74,2607.12959v1,121,24
B,75,2607.05311v1,121,24
B,76,2607.16671v1,121,24
B,77,2604.17920v1,121,24
B,78,2607.00357v1,121,24
B,79,2607.25736v1,121,24
B,80,2608.05356v1,121,24
B,81,2608.03385v1,121,24
B,82,2607.08076v1,121,24
B,83,2605.11300v1,121,24
B,84,2608.03370v1,121,24
B,85,2606.31834v1,121,24
B,86,2607.23576v1,121,24
B,87,2607.03589v2,121,24
B,88,2606.10769v1,121,24
B,89,2607.05148v2,121,24
B,90,2606.26743v2,121,24
B,91,2607.08004v1,121,24
B,92,2605.29429v2,121,24
B,93,2603.16241v1,121,24
B,94,2607.18779v1,121,24
B,95,2607.17778v1,121,24
B,96,2606.31373v1,121,24
B,97,2603.25165v2,121,24
