n,arxiv,match,value_as_written,cite_keys,sieve_target,hand_document,hand_note
1,2510.20947v1,hat R < 1.1,1.1,,none,"no citation","quality table: R̂<1.05 good / 1.05<R̂<1.1 questionable / R̂>1.1 bad; no reference anywhere in the window"
2,2510.20947v1,hat R > 1.1,1.1,,none,"no citation","same table, the ‘bad’ row"
3,2603.04003v1,"GelmanRubin2021>> have argued that ``a cutoff of hat R < 1.1",1.1,"vehtariRankNormalizationFoldingLocalization2021,Gelmanetal2003,vatsRevisitingGelmanRubin2021",vehtari_2021,"Vats & Knudson (cite key vatsRevisitingGelmanRubin2021) — quoted AGAINST the number","the one site in the frame that narrates the provenance: BDA 2nd ed. (cite key Gelmanetal2003) named for 1.10, the critique quoted, Vehtari et al. 2021 named for 1.01. The 1.1 here is inside the quoted critique, not an applied criterion"
4,2605.20400v1,hat R > 1.1,1.1,heckerman1995learning,other,"no citation for the threshold","reports a convergence failure at R̂>1.1; the citation in the window is to a Bayesian-network paper, unrelated to the threshold"
5,2605.20400v1,hat R > 1.1,1.1,hoyer2008nonlinear,other,"no citation for the threshold","same paper, second occurrence; window citation unrelated to the threshold"
6,2605.29180v1,hat R <1.1,1.1,"gelman1992inference,brooks1998general",gelman_rubin_1992,"Gelman & Rubin 1992 + Brooks & Gelman 1998","‘Convergence was assessed using the Gelman–Rubin–Brooks diagnostic [gelman1992inference, brooks1998general], with convergence defined as all monitored parameters having potential scale reduction factors R̂<1.1.’ The 1992 paper contains no numeric threshold (read at source, TRACE tick 36 §2); Brooks & Gelman 1998 names 1.2 as the circulating guideline and 1.1 as ‘the more stringent standard’, both uncited"
7,2605.29180v1,hat R <1.1,1.1,,none,"no citation","same paper: table caption restating the criterion defined at site 6"
8,2605.29180v1,hat R <1.1,1.1,,none,"no citation","same paper: results sentence restating the criterion"
9,2606.23146v1,potential scale reduction factor ( R ) for all parameters remained below 1.1,1.1,gelamn,gelman_rubin_1992,"unresolved — a Gelman citation whose target cannot be determined from the source","‘the Gelman–Rubin diagnostic [gelamn] confirmed that the potential scale reduction factor (R) for all parameters remained below 1.1’. The key is misspelled and the source carries no bibliography file, so which Gelman document is meant is not retrievable; recorded as unresolved rather than guessed"
10,2607.13185v1,hat R <1.1,1.1,gelman1992inference,gelman_rubin_1992,"Gelman & Rubin 1992","‘We used the Gelman-Rubin statistic (R̂) based on four chains to evaluate convergence [gelman1992inference]. Convergence was defined as all parameters with R̂<1.1.’ The cited document states no number"
11,2603.04003v1,hat R over all parameters below 1.10,1.10,"vehtariRankNormalizationFoldingLocalization2021,Gelmanetal2003,vatsRevisitingGelmanRubin2021",vehtari_2021,"Bayesian Data Analysis, 2nd ed. (cite key Gelmanetal2003) — the deriving document's own earlier edition","the ONLY site in the frame where the document that carries the number is named for the number: ‘While [Gelmanetal2003] suggested that maximum values of R̂ over all parameters below 1.10 are acceptable…’ — and it is named in order to report it as superseded"
12,2606.15525v1,hat R < 1.10,1.10,"Gelman1992,Gelman2013,Plummer2006",bda,"Gelman & Rubin 1992 (for the statistic) — inside a commented-out block","‘% Potential Scale Reduction Factor (PSRF, R̂; [Gelman1992]): values R̂ < 1.10 for all monitored scalar parameters were required’. Every line of this passage is a LaTeX comment: it is in the source and not in the paper. Counted by the default run, dropped by --nocomments; reported as an instrument defect in TRACE tick 36 §5, not as a use site of the published literature"
