literature,arxiv,class,ambiguous,fault,evidence
gaia,2302.02611,A,A/C,,"ruwe & astrometric quality flag — the released table's column description; the number is given a quality role and no criterion is stated"
gaia,2109.11951,A,,,"Another indicator that the Gaia solution is strongly perturbed comes from the RUWE parameter, which is as high as 16.1 for A. It is not clear how much the Gaia data can be trusted"
gaia,2306.03140,B,,F1,"the Renormalised Unit Weight Error (RUWE) for this source is 34.676, far above the limit of > 1.4 for poor astrometric fits suggested by [Lindegren18] — threshold AND deriving document present, site missed"
gaia,2312.10158,A,,,"the RUWE values for both components are relatively low, which indicates reliable astrometric estimations from Gaia"
gaia,2307.05421,B,,F1,"(ruwe) for these stars amounted to 3.62 and 2.51, values that are much greater than the cut-off of 1.4 suggested by [Fabricius21] — a displaced attribution the tick-35 count never saw"
gaia,2312.12827,B,,F2+F3,"ruwe_2<1.4 ... texttt ruwe \textless 1.4 — subscripted identifier and LaTeX relation"
gaia,2212.11971,C,,,"%RUWE&Re-normalised unit-weight error — the sole occurrence is a commented-out line in an acronym table"
gaia,2206.11275,A,,,"a seeming excess in the RUWE can be due to stellar variability rather than binarity per se ... RUWE values for variable stars are difficult to interpret"
gaia,2310.06295,C,A/C,,"astrometric excess noise, RUWE, BPRP excesses and signal to noise ratios ... for all sources — an input feature of a scoring model; no threshold is implied, the boundary is learned"
gaia,2304.12490,C,,,"\nocolhead RUWE — a table column specification, and the column is suppressed"
gaia,2305.03557,A,,,"companions that have poor astrometric fits according to their large values of RUWE — and the deriving document is cited beside the table column, not beside a number"
gaia,2404.18099,B,,F2,"ruwe_1<1.4 and ruwe_2<1.4 — subscripted identifiers"
mcmc,2605.09064v1,A,,,"assessed convergence using standard diagnostics (R-hat, effective sample size, trace plots)"
mcmc,2509.02772v2,C,,,"||U - U_0 \hat R || — \hat R is an orthogonal matrix from a Davis-Kahan bound; a symbol collision, not the diagnostic"
mcmc,2605.14565v2,A,,,"All key parameters exhibited satisfactory convergence behavior with \widehat R values close to one — the number replaced by a word, and a table column of R-hat values with no criterion"
mcmc,2605.29193v1,A,,,"we computed the Gelman-Rubin and Brooks diagnostics which compare within- and between-chain variances of each parameter"
mcmc,2605.21782v1,A,,,"Stored samples are used to compute Gelman-Rubin statistics to assess convergence across parallel chains"
mcmc,2605.30722v2,A,A/C,,"Practitioners rely on heuristic diagnostics---trace plots, the \hat R statistic ... that can detect certain pathologies but cannot certify convergence"
mcmc,2604.02304v1,C,,,"\widehat R _0^(K) and \widehat R _1^(K) — correlation quantities in a VAE penalty; a symbol collision"
mcmc,2601.22911v2,C,,F4,"It follows that R \ll \phi \circ \P — the term regex matched the letters `hat R` inside `that R`; the paper never mentions the diagnostic"
mcmc,2605.27889v2,A,,,"in the joint model the maximum \hat R is 1.01 and there were no divergent transitions — the achieved value is reported, the criterion it is being compared against is not"
mcmc,2605.12901v1,A,,,"Convergence and sampling efficiency are assessed using rank-normalised potential scale reduction, bulk and tail effective sample sizes"
mcmc,2606.18806v1,A,,,"Convergence is assessed using trace diagnostics, the potential scale reduction factor (\hat R), and effective sample size criteria"
mcmc,2508.18413v2,C,A/C,,"We do not use traditional MCMC metrics like effective sample size (ESS) or \hat R because such metrics mainly target the autocorrelatedness — an explicit non-use"
cv,2606.15427v1,B,,F5,"We report each at both 0.5 threshold and averaged over IoU thresholds from 0.5 to 0.95 ... each at the 0.50 IoU threshold — the value stands before the term"
cv,2603.25524v1,A,A/C,,"we validate against 688 annotations, with a mean 0.84 intersection over union (IOU) — an adequacy claim with no criterion"
cv,2606.28398v1,C,,,"downstream visual task accuracy (e.g., object detection mAP, semantic segmentation mIoU) — named in future work only"
cv,2607.02724v1,C,,,"enforcing a minimum 150 m separation to reduce spatial overlap — `overlap` in its ordinary sense; the profile's term is broad"
cv,2606.29136v1,A,,,"In other tests, AP _ 0.5 is uniformly used as the reported detection performance metric — the number lives only inside the metric's name, never asserted as a threshold"
cv,2607.05148v2,B,,F7,"report mAP _ 50, mAP _ 75, and mAP averaged over IoU thresholds from 0.50 to 0.95 — a sweep states threshold values; `from` is not a relation the profile knows"
cv,2606.12826v1,C,,,"mIoU _ ins (%) & mIoU _ 01 (%) & mAP (%) — IoU as a segmentation score, not a correctness criterion; nothing is decided by a threshold"
cv,2605.19213v1,C,,,"the acquisition regions of Scene 1 to Scene 3 partially overlap — ordinary sense"
cv,2607.00129v1,B,,F7,"mAP, following COCO protocol across IoU thresholds 0.5-0.95 — values stated; and elsewhere `with the IoU > \beta`, a criterion whose threshold is a free symbol"
cv,2606.22702v1,A,,,"Performance is measured using average precision (AP) across multiple IoU thresholds and object scales — thresholds invoked, no value anywhere"
cv,2606.25652v1,C,A/C,,"matching predictions to GT by 2D centre distance rather than by IoU, the latter being unstable — an explicit non-use"
cv,2607.08076v1,B,,F6,"The m AP _ 50 metric represents the mean AP under IoU of 0.50 [zhao2024removal] — a stated threshold carrying a citation; the CV profile's relation list has no bare `of`"
