n,arxiv,machine_A,hand_verdict,at_site_B14,in_bibliography,hand_note,evidence
1,2011.02505,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","sabs.harvard.edu/abs/2017MNRAS.468.4311L} {468, 4311} \bibitem[\protect\citeauthoryear{{Lindegren}}{{Lindegren}}{2018}]{Lindegren2018b} {Lindegren} L., 2018, GAIA-C3-TN-LU-LL-124-01: Re-normalising the astrometric chi-square in Gaia DR2 \bibitem[\protect\citeauthoryear{{Lindegren} et~al.,}{{Lindegre"
2,2102.13654,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","stbinaries} {Liebert}, J., {Bond}, H.~E., {Dufour}, P., {et~al.} 2013, \apj, 769, 32 \bibitem[{Lindegren(2018)}]{gaiaruwe} Lindegren, L. 2018, {G}AIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2021{\natexlab{a}}){Lindegren}, {Bastian}, {Biermann}, {Bombrun}, {de Torres}, {Gerlach}, {Geyer}, {Her"
3,2106.08128,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography"," {Bovy}(2019)}]{LeungBovy19} {Leung}, H.~W. \& {Bovy}, J. 2019, \mnras, 489, 2079 \bibitem[{Lindegren(2018)}]{LindegrenTN} Lindegren, L. 2018, {G}AIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2021{\natexlab{a}}){Lindegren}, {Bastian}, {Biermann}, {Bombrun}, {de Torres}, {Gerlach}, {Geyer}, {Her"
4,2111.03676,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","ttps://ui.adsabs.harvard.edu/abs/1962P&SS....9..719L} {9, 719} \bibitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{Lindegren18} Lindegren L., 2018, Re-normalising the astrometric chi-square in Gaia DR2, GAIA-C3-TN-LU-LL-124-01, \url {http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibit"
5,2201.09097,1,accept,1,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","ApJ...870...32K} {Kuhn}, M.~A., {Hillenbrand}, L.~A., {Sills}, A., {Feigelson}, E.~D., \& {Getman}, K.~V. 2019, \apj, 870, 32 \bibitem[{Lindegren(2018)}]{LL:LL-124} Lindegren, L. 2018, gAIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2021){Lindegren}, {Bastian}, {Biermann}, {Bombrun}, {de Torres}"
6,2202.00042,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","380, 606, \dodoi{10.1038/380606a0} \bibitem[{Lindegren(2018)}]{lindegren2018} Lindegren, L. 2018. \newblock \url{http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[{{Lindegren} {et~al.}(2018){Lindegren}, {Hern{\'a}ndez}, {Bombrun}, {Klioner}, {Bastian}, {Ramos-Lerate}, {de Torres}, {Steidelm"
7,2203.03659,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","630} \bibitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{RUWE} Lindegren L., 2018, {R}e-normalising the astrometric chi-square in {G}aia {D}{R}2, GAIA-C3-TN-LU-LL-124, \url {http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{{Lindegren} et~al.,}{{Lindegren} "
8,2206.05595,1,reject,0,1,"LL-136 (Lindegren 2022), a different DPAC C3 note; no LL-124 anywhere","& L.~{Woltjer}, 13--18 \bibitem[{{Lindegren}(2022)}]{LL:LL-136} {Lindegren}, L. 2022, {Gaia} Data Processing and Analysis Consortium (DPAC) technical note GAIA-C3-TN-LU-LL-136-01, \url{http://www.cosmos.esa.int/web/gaia/public-dpac-documents} \bibitem[{{Lindegren} {et~al.}(2021){Lindegren}, {Klioner"
9,2206.05902,1,reject,0,1,LL-084 'Minimum-dimension LSF modelling'; no LL-124 anywhere,"009)}]{Lindegren2009} Lindegren L., August 2009, {M}inimum-dimension {L}{S}{F} modelling, \urlprefix\url{http://www.rssd.esa.int/doc_fetch.php?id=2915742}, gAIA-C3-TN-LU-LL-084 \bibitem[{{Lindegren} \& {Dravins}(2003)}]{LindegrenDravins2003} {Lindegren} L., {Dravins} D., Apr. 2003, \aap, 401, 1185 \"
10,2207.13368,1,accept,0,1,"LL-124 / the note's title / its doc_fetch URL, in the bibliography","J.-E., Lee, S., Lee, S., {et~al.} 2021, ApJL, 916, L20, \dodoi{10.3847/2041-8213/ac0d59} \bibitem[{Lindegren(2018)}]{Lindegren2018RUWE} Lindegren, L. 2018, {Re-normalising the Astrometric Chi-square in Gaia DR2}, Tech. Rep. GAIA-C3-TN-LU-LL-124-01. \newblock \url{http://www.rssd.esa.int/doc_fetch.ph"
