arxiv,state,states_threshold,focus_absorbed,ap50,ap_at_half,ap_band,ap75
2608.06205v1,measured,0,218,218,0,0,0
2608.05858v1,measured,1,8,4,4,2,0
2608.04865v1,measured,1,5,5,0,0,0
2608.04833v1,measured,0,35,35,0,0,0
2608.04766v1,measured,0,1,1,0,0,0
2608.04750v1,measured,0,0,0,0,0,0
2608.04394v1,measured,0,0,0,0,0,0
2608.03490v1,measured,0,0,0,0,0,0
2608.03385v1,measured,1,30,30,0,0,0
2608.03370v1,measured,1,8,8,0,0,0
2608.03136v1,measured,0,3,3,0,0,3
2608.03106v1,measured,0,28,28,0,0,0
2608.02806v1,no_source,,,,,,
2608.02495v1,measured,1,6,6,0,0,6
2608.02448v1,no_source,,,,,,
2608.02177v1,measured,0,0,0,0,0,0
2608.02137v1,measured,0,0,0,0,0,0
2608.02092v1,measured,0,16,16,0,0,0
2608.01906v1,measured,0,0,0,0,0,9
2608.01348v2,measured,0,0,0,0,0,0
2608.01302v1,measured,1,27,27,0,0,1
2608.00508v1,measured,0,0,0,0,0,0
2608.00137v1,measured,0,16,16,0,7,0
2607.29222v1,measured,0,0,0,0,0,0
2607.28589v1,measured,0,0,0,0,0,0
2607.28007v1,measured,0,0,0,0,0,0
2607.27843v1,measured,0,0,0,0,0,0
2607.27058v1,measured,1,26,0,26,0,0
2607.25736v1,measured,0,0,0,0,0,0
2607.25455v1,measured,0,13,13,0,0,0
2607.25392v1,measured,0,0,0,0,0,0
2607.25239v1,measured,0,0,0,0,0,0
2607.23981v1,measured,0,0,0,0,0,0
2607.23576v1,measured,1,17,17,0,11,0
2607.21577v1,measured,0,1,1,0,0,0
2607.21032v1,measured,0,0,0,0,0,0
2607.20947v1,measured,1,0,0,0,0,0
2607.20263v1,measured,1,23,4,19,11,0
2607.20238v1,measured,0,3,3,0,0,3
2607.19942v2,measured,0,5,5,0,3,0
2607.19036v1,measured,1,12,0,12,0,0
2607.18779v1,measured,0,0,0,0,0,0
2607.18700v1,measured,1,2,0,2,0,0
2607.17669v1,no_source,,,,,,
2607.17340v1,measured,0,0,0,0,0,0
2607.16671v1,measured,0,0,0,0,0,0
2607.16351v1,measured,0,0,0,0,0,0
2607.15041v1,measured,0,0,0,0,0,0
2607.14560v1,measured,1,0,0,0,0,0
2607.13891v1,measured,1,0,0,0,0,0
2607.13452v1,measured,1,17,17,0,0,5
2607.12959v1,measured,1,7,0,7,0,0
2607.12874v1,measured,0,0,0,0,0,0
2607.12681v1,measured,0,7,7,0,7,0
2607.12419v1,measured,0,0,0,0,0,0
2607.12284v1,measured,0,0,0,0,0,0
2607.12110v1,no_source,,,,,,
2607.11732v1,measured,0,0,0,0,0,0
2607.10949v2,measured,0,0,0,0,0,0
2607.10749v1,measured,0,0,0,0,0,0
2607.10575v1,measured,0,15,15,0,0,0
2607.10098v1,measured,0,0,0,0,0,0
2607.09654v1,measured,0,0,0,0,0,0
2607.09583v1,measured,0,22,22,0,0,0
2607.09835v1,no_source,,,,,,
2607.09115v2,measured,0,5,0,5,0,0
2607.09078v1,measured,0,0,0,0,2,0
2607.08541v1,measured,0,0,0,0,0,0
2607.08191v1,measured,1,23,23,0,0,0
2607.08076v1,measured,0,25,25,0,0,0
2607.08004v1,measured,1,2,0,2,1,0
2607.07192v1,measured,1,0,0,0,0,0
2607.06896v1,no_source,,,,,,
2607.05978v1,measured,1,1,1,0,0,1
2607.05649v1,measured,1,8,8,0,0,0
2607.05176v2,measured,0,11,11,0,0,6
2607.05148v2,measured,0,26,26,0,0,14
2607.04921v1,no_source,,,,,,
2607.06592v1,measured,0,15,15,0,0,0
2607.05467v1,measured,0,22,4,18,0,0
2607.04587v1,measured,1,0,0,0,0,0
2607.04330v1,measured,1,0,0,0,0,0
2607.04125v1,measured,0,15,15,0,0,2
2607.03915v2,measured,1,10,10,0,5,0
2607.03795v1,measured,1,24,24,0,1,0
2607.03696v1,measured,0,0,0,0,0,0
2607.03589v2,measured,0,0,0,0,0,2
2607.03004v1,measured,0,0,0,0,0,0
2607.02724v1,measured,0,2,1,1,1,0
2607.02699v1,no_source,,,,,,
2607.02636v1,measured,1,45,0,45,0,0
2607.02074v1,measured,0,0,0,0,0,0
2607.02025v1,no_source,,,,,,
2607.02005v1,measured,0,0,0,0,0,0
2607.01983v1,measured,1,0,0,0,0,0
2607.01827v1,measured,1,12,0,12,0,0
2607.01825v1,measured,0,0,0,0,0,0
2607.01759v1,measured,1,14,14,0,1,1
2607.00816v1,measured,0,0,0,0,0,0
2607.00747v1,measured,0,0,0,0,0,0
2607.00746v1,measured,0,0,0,0,0,0
2607.00357v1,measured,0,0,0,0,0,0
2607.00338v1,measured,1,23,23,0,0,0
2607.00129v1,measured,0,0,0,0,0,0
2606.31834v1,measured,0,0,0,0,0,0
2606.31496v1,measured,0,0,0,0,0,0
2606.31373v1,measured,1,0,0,0,0,0
2606.31157v1,measured,1,6,4,2,0,0
2606.31096v1,measured,0,0,0,0,0,0
2606.31029v1,measured,0,0,0,0,0,0
2606.31015v1,measured,1,27,27,0,0,0
2606.30875v1,measured,1,54,54,0,14,0
2606.30795v1,measured,1,41,41,0,0,0
2606.30471v1,measured,0,12,12,0,0,10
2606.30179v1,measured,0,0,0,0,0,0
2606.30049v1,measured,0,18,18,0,0,0
