arxiv,state,mentioned,sites,values,targets,flag_cite_bda,flag_cite_gr1992,flag_name_gr,flag_cite_vehtari,flag_cite_software,flag_prov,flag_hedge,flag_as_rhat,flag_as_psrf,flag_as_eponym
2607.24378v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.24055v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.22989v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.22449v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.18030v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.15499v1,measured,1,2,1.05,other|software,0,0,0,0,1,0,0,1,0,0
2607.11631v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.07188v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.05579v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.30018v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.29205v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.25983v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.25603v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.24427v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.22615v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.19540v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.15725v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.07981v1,measured,1,17,1|1.01|1.02|1.04|1.07|1.13|1.36|1.90|2.49|5.53,none|vehtari_2021,0,0,0,1,0,0,0,1,0,0
2606.14743v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.03033v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.02874v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.00783v1,measured,1,2,1.05,bda|gelman_rubin_1992,1,0,1,1,0,0,1,1,0,0
2605.30722v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.30674v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.30532v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.29180v1,measured,1,3,1.1,gelman_rubin_1992|none,0,0,0,0,0,1,0,1,0,0
2605.25079v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.23631v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.21782v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.18476v2,measured,1,8,1.01|1.049|1.05|1.3,none|vehtari_2021,0,0,0,1,0,0,1,1,0,0
2605.15847v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.13397v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.12807v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.10914v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.09880v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.09506v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.03266v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.01603v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.01198v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.27603v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.25410v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.21009v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.20052v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.10863v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.09832v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.02304v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2604.02116v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.00671v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2603.27276v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
