arxiv,state,mentioned,sites,values,targets,flag_cite_voc,flag_name_voc_dataset,flag_cite_coco,flag_cite_detector,flag_cite_iouloss,flag_software,flag_hedge,flag_as_iou,flag_as_overlap,flag_as_jaccard
2608.06205v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2608.05858v1,measured,1,9,0.4929|0.5|0.7828|0.7931|1,none|other,0,0,0,0,0,0,1,1,0,0
2608.04865v1,measured,1,5,0.05|0.5,coco,0,0,1,0,0,0,1,1,0,0
2608.04833v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2608.04766v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2608.04750v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2608.04394v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2608.03490v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2608.03385v1,measured,1,1,0.5,coco,0,0,0,0,0,0,1,1,0,0
2608.03370v1,measured,1,2,0.5,none,0,0,0,0,0,0,1,1,0,0
2608.03136v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2608.03106v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2608.02806v1,no_source,,,,,,,,,,,,,,
2608.02495v1,measured,1,2,0.5,none,0,0,0,0,0,0,0,1,0,0
2608.02448v1,no_source,,,,,,,,,,,,,,
2608.02177v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2608.02137v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2608.02092v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2608.01906v1,measured,1,1,0.75,none,0,0,0,0,0,0,0,1,0,0
2608.01348v2,measured,1,1,0.50,coco,0,0,1,0,0,0,1,1,0,0
2608.01302v1,measured,1,2,0.5,detector,0,0,0,0,0,0,0,1,0,0
2608.00508v1,measured,1,4,0.1,none|other,0,0,0,0,0,0,1,1,0,0
2608.00137v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.29222v1,measured,1,1,0.89,none,0,0,0,0,0,0,0,1,0,0
2607.28589v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2607.28007v1,measured,1,2,0.5|0.7,detector,0,0,0,0,0,1,1,1,0,0
2607.27843v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.27058v1,measured,1,1,0.5,none,0,0,0,0,0,0,1,1,0,0
2607.25736v1,measured,1,1,0.5,detector,0,0,0,0,0,1,0,1,0,0
2607.25455v1,measured,1,3,50,detector|none,0,0,0,0,0,0,1,1,0,0
2607.25392v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.25239v1,measured,1,2,0.02,none,0,0,0,0,0,0,1,1,0,0
2607.23981v1,measured,1,2,0.5,none|voc,0,1,0,0,0,0,0,1,0,0
2607.23576v1,measured,1,2,0.50|0.75,none,0,0,0,0,0,0,1,1,0,0
2607.21577v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.21032v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.20947v1,measured,1,12,0.25|0.5,none|other,0,0,0,0,0,0,0,1,0,0
2607.20263v1,measured,1,5,0.15|0.5,none,0,0,0,0,0,0,0,1,0,0
2607.20238v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.19942v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.19036v1,measured,1,1,0.5,other,0,0,0,0,0,0,0,1,0,0
2607.18779v1,measured,1,2,75|80,other,0,0,0,0,0,0,0,0,1,0
2607.18700v1,measured,1,2,0.5,detector|none,0,0,0,0,0,0,0,1,0,0
2607.17669v1,no_source,,,,,,,,,,,,,,
2607.17340v1,measured,1,1,0.5,other,0,1,0,0,0,0,0,1,0,0
2607.16671v1,measured,1,1,75,other,0,0,0,0,0,0,0,1,0,0
2607.16351v1,measured,1,1,0.40,detector,0,0,0,0,0,0,0,1,0,0
2607.15041v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.14560v1,measured,1,1,0.5,other,0,0,0,0,0,0,0,1,0,0
2607.13891v1,measured,1,2,0.3|0.5,none|other,0,0,0,0,0,0,1,1,0,0
