arxiv,state,mentioned,sites,values,targets,flag_cite_penoyre,flag_cite_paper_i_id,flag_prov,flag_prov_release,flag_hedge,flag_on_ruwe,flag_on_uwe
2011.02505,measured,1,2,1.4,lindegren,0,0,0,0,0,1,0
2012.01742,measured,1,4,1.4|2,none|other,0,0,0,1,0,1,0
2012.01916,measured,0,0,,,0,0,0,0,0,0,0
2012.06420,measured,0,0,,,0,0,0,0,0,0,0
2012.08534,measured,0,0,,,0,0,0,0,0,0,0
2012.09204,measured,1,1,1.3,lindegren,0,0,0,0,0,1,0
2101.05282,measured,1,17,1.4,belokurov|gaia_generic|lindegren|none,0,0,0,1,0,1,0
2101.05811,measured,1,2,1.4,lindegren|other,0,0,0,0,1,1,0
2101.07122,measured,1,4,1.2|1.4|3.9,lindegren|none|other,0,0,0,0,0,1,0
2101.10206,measured,1,5,1|1.4,none|other,0,0,0,1,0,1,0
2102.07790,measured,0,0,,,0,0,0,0,0,0,0
2102.09568,measured,1,1,1.15,fabricius,0,0,0,0,1,1,0
2102.13654,measured,1,1,1.4,lindegren,0,0,0,0,0,1,0
2103.05000,measured,0,0,,,0,0,0,0,0,0,0
2103.07432,measured,0,0,,,0,0,0,0,0,0,0
2103.09923,measured,1,2,1.29|1.4,fabricius,0,0,0,1,0,1,0
2103.12760,measured,1,1,1.7,gaia_generic,0,0,0,0,0,1,0
2104.00662,measured,1,2,1.4,lindegren,0,0,0,1,0,1,0
2104.04231,measured,0,0,,,0,0,0,0,0,0,0
2104.07934,measured,0,0,,,0,0,0,0,0,0,0
2104.11759,measured,1,2,1.4|3,lindegren,0,0,0,1,0,1,0
2104.12883,measured,0,0,,,0,0,0,0,0,0,0
2104.13148,measured,1,1,1.4,other,0,0,0,1,0,1,0
2104.13941,measured,1,2,1.17|2.05,gaia_generic,0,0,0,1,0,1,0
2104.14565,measured,1,2,1.0|1.4,lindegren,0,0,0,1,0,1,0
2105.06108,measured,0,0,,,0,0,0,0,0,0,0
2105.07266,measured,0,0,,,0,0,0,0,0,0,0
2105.11662,measured,0,0,,,0,0,0,0,0,0,0
2105.13370,measured,1,3,1.2|1.4,gaia_generic|none,0,0,0,1,0,1,0
2105.13379,measured,0,0,,,0,0,0,0,0,0,0
2106.07669,measured,1,2,1.1,none,0,0,0,0,0,1,0
2106.08128,measured,1,2,0.4|1.4,fabricius|none,0,0,0,0,0,1,0
2106.08819,measured,1,1,1.4,lindegren,0,0,0,1,0,1,0
2106.13337,measured,1,3,1.4,lindegren|other,0,0,0,1,0,1,0
2106.15656,measured,0,0,,,0,0,0,0,0,0,0
2107.00036,measured,1,1,1.4,other,0,0,0,1,0,1,0
2107.06303,measured,1,1,2,none,0,0,0,0,0,1,0
2107.06340,measured,0,0,,,0,0,0,0,0,0,0
2107.06373,measured,1,1,1.4,other,0,0,0,1,0,1,0
2107.08057,measured,1,2,1.4,other,0,0,0,1,1,1,0
2107.10259,measured,1,1,1.72,lindegren,0,0,0,1,0,1,0
2107.12691,measured,1,0,,,0,0,0,0,0,0,0
2108.01100,measured,0,0,,,0,0,0,0,0,0,0
2108.04255,measured,0,0,,,0,0,0,0,0,0,0
2108.05321,measured,1,1,1.5,fabricius,0,0,0,1,1,1,0
2108.11001,measured,0,0,,,0,0,0,0,0,0,0
2108.11208,measured,0,0,,,0,0,0,0,0,0,0
2109.00836,measured,1,1,4.15,belokurov,0,0,0,0,1,1,0
2109.03149,measured,0,0,,,0,0,0,0,0,0,0
2109.07522,measured,0,0,,,0,0,0,0,0,0,0
2109.09185,measured,1,0,,,0,0,0,0,0,0,0
2109.10912,measured,1,13,1.4|2|5|8.8,gaia_generic|none|other,0,0,0,1,0,1,0
2109.10998,measured,0,0,,,0,0,0,0,0,0,0
2109.11826,measured,0,0,,,0,0,0,0,0,0,0
2109.11951,measured,1,0,,,0,0,0,0,0,0,0
2109.12114,measured,1,2,1.4|1.96,lindegren,0,0,0,1,0,1,1
