literature,arxiv,draw_index,frame_tick,manifest
gaia,2302.02611,1,35,fetch-manifest-tick35.jsonl
gaia,2109.11951,2,35,fetch-manifest-tick35.jsonl
gaia,2306.03140,3,35,fetch-manifest-tick35.jsonl
gaia,2312.10158,4,35,fetch-manifest-tick35.jsonl
gaia,2307.05421,5,35,fetch-manifest-tick35.jsonl
gaia,2312.12827,6,35,fetch-manifest-tick35.jsonl
gaia,2212.11971,7,35,fetch-manifest-tick35.jsonl
gaia,2206.11275,8,35,fetch-manifest-tick35.jsonl
gaia,2310.06295,9,35,fetch-manifest-tick35.jsonl
gaia,2304.12490,10,35,fetch-manifest-tick35.jsonl
gaia,2305.03557,11,35,fetch-manifest-tick35.jsonl
gaia,2404.18099,12,35,fetch-manifest-tick35.jsonl
mcmc,2605.09064v1,1,36,fetch-manifest-tick36.jsonl
mcmc,2509.02772v2,2,36,fetch-manifest-tick36.jsonl
mcmc,2605.14565v2,3,36,fetch-manifest-tick36.jsonl
mcmc,2605.29193v1,4,36,fetch-manifest-tick36.jsonl
mcmc,2605.21782v1,5,36,fetch-manifest-tick36.jsonl
mcmc,2605.30722v2,6,36,fetch-manifest-tick36.jsonl
mcmc,2604.02304v1,7,36,fetch-manifest-tick36.jsonl
mcmc,2601.22911v2,8,36,fetch-manifest-tick36.jsonl
mcmc,2605.27889v2,9,36,fetch-manifest-tick36.jsonl
mcmc,2605.12901v1,10,36,fetch-manifest-tick36.jsonl
mcmc,2606.18806v1,11,36,fetch-manifest-tick36.jsonl
mcmc,2508.18413v2,12,36,fetch-manifest-tick36.jsonl
cv,2606.15427v1,1,46,fetch-manifest-tick46.jsonl
cv,2603.25524v1,2,46,fetch-manifest-tick46.jsonl
cv,2606.28398v1,3,46,fetch-manifest-tick46.jsonl
cv,2607.02724v1,4,46,fetch-manifest-tick46.jsonl
cv,2606.29136v1,5,46,fetch-manifest-tick46.jsonl
cv,2607.05148v2,6,46,fetch-manifest-tick46.jsonl
cv,2606.12826v1,7,46,fetch-manifest-tick46.jsonl
cv,2605.19213v1,8,46,fetch-manifest-tick46.jsonl
cv,2607.00129v1,9,46,fetch-manifest-tick46.jsonl
cv,2606.22702v1,10,46,fetch-manifest-tick46.jsonl
cv,2606.25652v1,11,46,fetch-manifest-tick46.jsonl
cv,2607.08076v1,12,46,fetch-manifest-tick46.jsonl
