arxiv,mentioned,sites,values,targets,flag_cite_lindegren,flag_cite_tn,flag_prov,flag_prov_dr2,flag_hedge
2011.02505,1,2,1.4,lind_dr2|other,1,0,0,0,0
2104.14565,1,1,1.4,lind_dr2,1,0,0,1,0
2109.03149,0,0,,,0,0,0,0,0
2111.11787,0,0,,,0,0,0,0,0
2201.09438,1,1,1.4,none,0,0,0,0,0
2204.13672,1,0,,,0,0,0,0,0
2206.05388,0,0,,,0,0,0,0,0
2207.08742,1,0,,,0,0,0,0,0
2209.06833,1,1,1.4,other,0,0,0,0,0
2211.06367,0,0,,,0,0,0,0,0
2302.02611,1,0,,,0,0,0,0,0
2304.07322,1,10,1.2|1.4|2.0,none,0,0,0,1,0
2306.08143,0,0,,,0,0,0,0,0
2308.15919,0,0,,,0,0,0,0,0
2310.19866,0,0,,,0,0,0,0,0
2401.02484,0,0,,,0,0,0,0,0
2406.18638,0,0,,,0,0,0,0,0
2408.14694,1,0,,,0,0,0,0,0
2411.03994,0,0,,,0,0,0,0,0
2502.12251,0,0,,,0,0,0,0,0
2505.01470,0,0,,,0,0,0,0,0
2507.01798,0,0,,,0,0,0,0,0
2509.04555,0,0,,,0,0,0,0,0
2512.08932,0,0,,,0,0,0,0,0
