arxiv,state,has_bib,A,A_bib,A_body,B14,B_any,C,sites_all,sites14,evidence
2011.02505,measured,1,1,1,0,0,0,1,2,2,"sabs.harvard.edu/abs/2017MNRAS.468.4311L} {468, 4311} \bibitem[\protect\citeauthoryear{{Lindegren}}{{Lindegren}}{2018}]{Lindegren2018b} {Lindegren} L., 2018, GAIA-C3-TN-LU-LL-124-01: Re-normalising the astrometric chi-square in Gaia DR2 \bibitem[\protect\citeauthoryear{{Lindegren} et~al.,}{{Lindegren} et~al.}{2018}]{Linde"
2012.01742,measured,1,0,0,0,0,0,1,4,2,
2101.05282,measured,1,0,0,0,0,0,1,16,16,
2101.05811,measured,1,0,0,0,0,0,1,2,2,
2101.07122,measured,1,0,0,0,0,0,1,4,2,
2101.10206,measured,1,0,0,0,0,0,0,4,4,
2102.13654,measured,1,1,1,0,0,0,0,1,1,"stbinaries} {Liebert}, J., {Bond}, H.~E., {Dufour}, P., {et~al.} 2013, \apj, 769, 32 \bibitem[{Lindegren(2018)}]{gaiaruwe} Lindegren, L. 2018, {G}AIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2021{\natexlab{a}}){Lindegren}, {Bastian}, {Biermann}, {Bombrun}, {de Torres}, {Gerlach}, {Geyer}, {Hern{\'a}ndez}, {Hilger"
2103.09923,measured,1,0,0,0,0,0,0,2,1,
2104.00662,measured,1,0,0,0,0,0,0,2,2,
2104.11759,measured,1,0,0,0,0,0,1,2,1,
2104.14565,measured,1,0,0,0,0,0,1,1,1,
2105.13370,measured,1,0,0,0,0,0,0,3,2,
2106.08128,measured,1,1,1,0,0,0,1,1,1," {Bovy}(2019)}]{LeungBovy19} {Leung}, H.~W. \& {Bovy}, J. 2019, \mnras, 489, 2079 \bibitem[{Lindegren(2018)}]{LindegrenTN} Lindegren, L. 2018, {G}AIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2021{\natexlab{a}}){Lindegren}, {Bastian}, {Biermann}, {Bombrun}, {de Torres}, {Gerlach}, {Geyer}, {Hern{\'a}ndez}, {Hilger"
2106.08819,measured,1,0,0,0,0,0,0,1,1,
2106.13337,measured,1,0,0,0,0,0,0,3,3,
2107.00036,measured,1,0,0,0,0,0,0,1,1,
2107.08057,measured,1,0,0,0,0,0,0,2,2,
2109.10912,measured,1,0,0,0,0,0,0,12,10,
2109.12114,measured,1,0,0,0,0,0,1,1,1,
2110.13943,measured,1,0,0,0,0,0,0,3,1,
2111.03676,measured,1,1,1,0,0,0,1,3,1,"ttps://ui.adsabs.harvard.edu/abs/1962P&SS....9..719L} {9, 719} \bibitem[\protect\citeauthoryear{Lindegren}{Lindegren}{2018}]{Lindegren18} Lindegren L., 2018, Re-normalising the astrometric chi-square in Gaia DR2, GAIA-C3-TN-LU-LL-124-01, \url {http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[\protect\citeauthoryear{{Lindegren} et~al.,}"
2111.05291,measured,1,0,0,0,0,0,0,1,1,
2111.11196,measured,1,0,0,0,0,0,0,1,1,
2112.00852,measured,1,0,0,0,0,0,0,6,5,
2112.03959,measured,1,0,0,0,0,0,1,2,1,
2112.15353,measured,1,0,0,0,0,0,0,1,1,
