the 26 standing-still sections, re-read at 2026-08-12 (corpus stays frozen at 2026-08-11)

  14 CFR 91.1721      2026-08-11: 2007   2026-08-12: 2007 [ok]
  21 CFR 830.10       2026-08-11: 2008   2026-08-12: 2008 [ok]
  33 CFR 97.110       2026-08-11: 2014   2026-08-12: 2014 [ok]
  40 CFR 1068.95      2026-08-11: 2008   2026-08-12: 2008 [ok]
  43 CFR 11.18        2026-08-11: 1999   2026-08-12: 2018 [ok]  <-- CHANGED
  46 CFR 10.103       2026-08-11: 2011   2026-08-12: 2011 [ok]
  46 CFR 11.102       2026-08-11: 2011   2026-08-12: 2011 [ok]
  46 CFR 12.103       2026-08-11: 2011   2026-08-12: 2011 [ok]
  46 CFR 125.180      2026-08-11: 2011   2026-08-12: 2011 [ok]
  46 CFR 13.103       2026-08-11: 2011   2026-08-12: 2011 [ok]
  46 CFR 136.112      2026-08-11: 2014   2026-08-12: 2014 [ok]
  46 CFR 15.103       2026-08-11: 2011   2026-08-12: 2011 [ok]
  46 CFR 160.051-5    2026-08-11: 2010   2026-08-12: 2010 [ok]
  46 CFR 160.115-5    2026-08-11: 2010   2026-08-12: 2010 [ok]
  46 CFR 160.132-5    2026-08-11: 2010   2026-08-12: 2010 [ok]
  46 CFR 160.133-5    2026-08-11: 2011   2026-08-12: 2011 [ok]
  46 CFR 160.135-5    2026-08-11: 2010   2026-08-12: 2010 [ok]
  46 CFR 160.151-5    2026-08-11: 2010   2026-08-12: 2010 [ok]
  46 CFR 160.156-5    2026-08-11: 2010   2026-08-12: 2010 [ok]
  46 CFR 160.170-5    2026-08-11: 2010   2026-08-12: 2010 [ok]
  46 CFR 160.176-4    2026-08-11: 2009   2026-08-12: 2009 [ok]
  46 CFR 164.137-2    2026-08-11: 2012   2026-08-12: 2012 [ok]
  46 CFR 164.138-2    2026-08-11: 2012   2026-08-12: 2012 [ok]
  46 CFR 164.139-2    2026-08-11: 2012   2026-08-12: 2012 [ok]
  46 CFR 169.115      2026-08-11: 2010   2026-08-12: 2010 [ok]
  47 CFR 79.100       2026-08-11: 2010   2026-08-12: 2010 [ok]

changed in the one day after the freeze: 1 of 26
