celex,date,year,reference,origin,limb,section,act_kind
32019D0436,2019-03-18,2019,EN 15895:2011+A1:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 50569:2013,CENELEC,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 50570:2013,CENELEC,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 50571:2013,CENELEC,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 50636-2-107:2015,CENELEC,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 60335-1:2012,IEC,inferred-60000,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 60335-2-58:2005,IEC,inferred-60000,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 60335-2-58:2005,IEC,inferred-60000,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 60335-2-58:2005,IEC,inferred-60000,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 16719:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 14118:2018,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 474-1:2006+A5:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 1853:2017,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 1870-6:2017,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 4254-5:2018,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 4254-7:2017,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 4254-8:2018,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 5395-1:2013,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 5395-3:2013,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 12013:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 12999:2011+A2:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 13001-3-1:2012+A2:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 13001-3-6:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 13135:2013+A1:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 13684:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 13766-2:2018,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 15194:2017,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 15895:2011+A1:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 16092-1:2018,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 16092-3:2018,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 16952:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 16719:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 17059:2018,CEN,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 19085-4:2018,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 19085-6:2017,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 19085-8:2018,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 19225:2017,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN ISO 28927-2:2009,ISO,explicit,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 50569:2013,CENELEC,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 50570:2013,CENELEC,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 50571:2013,CENELEC,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 50636-2-107:2015,CENELEC,number,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 60335-1:2012,IEC,inferred-60000,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 62841-2-1:2018,IEC,inferred-60000,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 62841-2-17:2017,IEC,inferred-60000,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 62841-3-1:2014,IEC,inferred-60000,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 60335-2-58:2005,IEC,inferred-60000,none,FULL_LIST
32019D0436,2019-03-18,2019,EN 60335-2-58:2005,IEC,inferred-60000,none,FULL_LIST
